Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Afghanistan,004,110,0.47,0.27,0.06
Albania,008,11,0.24,0.38,0.03
Algeria,012,158,0.34,0.35,0.04
Angola,024,38,0.24,0.11,0.04
Azerbaijan,031,106,0.87,1.0,0.08
Argentina,032,294,0.50,0.64,0.06
Australia,036,646,1.4,2.5,0.17
Austria,040,199,1.1,2.2,0.13
Bahamas,044,6,1.3,1.5,0.15
Bahrain,048,3,0.24,0.17,0.03
Bangladesh,050,372,0.24,0.22,0.03
Armenia,051,12,0.24,0.40,0.04
Barbados,052,8,1.4,2.8,0.19
Belgium,056,240,1.0,2.1,0.12
Bhutan,064,0,0.00,0.00,0.00
Bolivia,068,10,0.08,0.08,0.01
Bosnia Herzegovina,070,10,0.16,0.31,0.02
Botswana,072,16,0.71,0.66,0.07
Brazil,076,3 138,1.1,1.5,0.12
Belize,084,0,0.00,0.00,0.00
Solomon Islands,090,2,0.35,0.28,0.01
Brunei Darussalam,096,0,0.00,0.00,0.00
Bulgaria,100,68,0.49,0.99,0.06
Myanmar,104,178,0.31,0.32,0.03
Burundi,108,54,0.99,0.43,0.11
Belarus,112,127,0.75,1.4,0.09
Cambodia,116,41,0.29,0.24,0.03
Cameroon,120,103,0.68,0.37,0.08
Canada,124,888,1.2,2.3,0.14
Cape Verde,132,2,0.39,0.35,0.05
Central African Republic,140,16,0.57,0.32,0.07
Sri Lanka,144,139,0.41,0.64,0.05
Chad,148,9,0.13,0.05,0.00
Chile,152,118,0.38,0.61,0.04
China,156,5 568,0.22,0.39,0.02
Colombia,170,532,0.78,1.0,0.10
Comoros,174,0,0.00,0.00,0.00
"Congo, Republic of",178,29,0.84,0.50,0.11
"Congo, Democratic Republic of",180,495,0.98,0.52,0.11
Costa Rica,188,18,0.23,0.35,0.03
Croatia,191,43,0.48,1.1,0.06
Cuba,192,182,0.83,1.6,0.11
Cyprus,196,11,0.51,0.90,0.06
Czechia,203,263,1.1,2.5,0.14
Benin,204,49,0.65,0.38,0.09
Denmark,208,183,1.6,3.1,0.19
Dominican Republic,214,20,0.16,0.18,0.02
Ecuador,218,133,0.66,0.73,0.09
El Salvador,222,19,0.25,0.29,0.03
Equatorial Guinea,226,7,0.72,0.47,0.07
Ethiopia,231,346,0.44,0.29,0.05
Eritrea,232,4,0.12,0.11,0.01
Estonia,233,16,0.69,1.2,0.07
Fiji,242,5,0.53,0.55,0.05
Finland,246,53,0.44,0.95,0.05
France (metropolitan),250,1 982,1.6,3.0,0.19
French Guyana,254,2,0.69,0.64,0.13
French Polynesia,258,1,0.21,0.35,0.00
Djibouti,262,0,0.00,0.00,0.00
Gabon,266,18,1.1,0.77,0.11
Georgia,268,19,0.20,0.48,0.02
The Republic of the Gambia,270,0,0.00,0.00,0.00
Gaza Strip and West Bank,275,3,0.11,0.06,0.02
Germany,276,2 693,1.5,3.2,0.18
Ghana,288,214,0.93,0.66,0.09
Greece,300,185,0.85,1.8,0.10
"France, Guadeloupe",312,3,0.33,0.75,0.04
Guam,316,0,0.00,0.00,0.00
Guatemala,320,6,0.05,0.03,0.01
Guinea,324,31,0.41,0.22,0.04
Guyana,328,1,0.13,0.13,0.02
Haiti,332,68,0.70,0.58,0.06
