Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Afghanistan,004,63,0.30,0.15,0.04
Albania,008,4,0.05,0.14,0.00
Algeria,012,70,0.14,0.15,0.01
Angola,024,23,0.15,0.07,0.02
Azerbaijan,031,72,0.57,0.70,0.05
Argentina,032,105,0.16,0.23,0.02
Australia,036,135,0.23,0.52,0.03
Austria,040,55,0.22,0.61,0.03
Bahamas,044,0,0.00,0.00,0.00
Bahrain,048,1,0.10,0.06,0.02
Bangladesh,050,216,0.14,0.13,0.01
Armenia,051,4,0.08,0.13,0.01
Barbados,052,0,0.00,0.00,0.00
Belgium,056,60,0.18,0.51,0.02
Bhutan,064,0,0.00,0.00,0.00
Bolivia,068,0,0.00,0.00,0.00
Bosnia Herzegovina,070,3,0.04,0.09,0.01
Botswana,072,10,0.43,0.41,0.04
Brazil,076,820,0.27,0.38,0.03
Belize,084,0,0.00,0.00,0.00
Solomon Islands,090,2,0.35,0.28,0.01
Brunei Darussalam,096,0,0.00,0.00,0.00
Bulgaria,100,25,0.14,0.37,0.02
Myanmar,104,71,0.13,0.13,0.01
Burundi,108,40,0.77,0.32,0.08
Belarus,112,50,0.26,0.53,0.03
Cambodia,116,16,0.12,0.09,0.01
Cameroon,120,72,0.46,0.26,0.05
Canada,124,211,0.23,0.55,0.02
Cape Verde,132,0,0.00,0.00,0.00
Central African Republic,140,14,0.55,0.28,0.07
Sri Lanka,144,60,0.17,0.28,0.02
Chad,148,7,0.10,0.04,0.00
Chile,152,40,0.11,0.21,0.01
China,156,4 159,0.15,0.29,0.02
Colombia,170,117,0.16,0.23,0.02
Comoros,174,0,0.00,0.00,0.00
"Congo, Republic of",178,21,0.57,0.36,0.06
"Congo, Democratic Republic of",180,394,0.83,0.41,0.09
Costa Rica,188,6,0.07,0.12,0.01
Croatia,191,17,0.11,0.42,0.01
Cuba,192,48,0.22,0.42,0.03
Cyprus,196,3,0.10,0.25,0.01
Czechia,203,138,0.55,1.3,0.07
Benin,204,36,0.48,0.28,0.06
Denmark,208,49,0.31,0.84,0.03
Dominican Republic,214,6,0.05,0.05,0.01
Ecuador,218,33,0.16,0.18,0.02
El Salvador,222,4,0.05,0.06,0.00
Equatorial Guinea,226,7,0.72,0.47,0.07
Ethiopia,231,249,0.32,0.21,0.03
Eritrea,232,3,0.10,0.08,0.01
Estonia,233,7,0.16,0.53,0.02
Fiji,242,0,0.00,0.00,0.00
Finland,246,20,0.12,0.36,0.01
France (metropolitan),250,503,0.31,0.77,0.04
French Guyana,254,0,0.00,0.00,0.00
French Polynesia,258,1,0.21,0.35,0.00
Djibouti,262,0,0.00,0.00,0.00
Gabon,266,11,0.57,0.47,0.06
Georgia,268,12,0.15,0.30,0.02
The Republic of the Gambia,270,0,0.00,0.00,0.00
Gaza Strip and West Bank,275,2,0.08,0.04,0.02
Germany,276,700,0.31,0.83,0.03
Ghana,288,133,0.62,0.41,0.06
Greece,300,49,0.18,0.47,0.02
"France, Guadeloupe",312,1,0.07,0.25,0.00
Guam,316,0,0.00,0.00,0.00
Guatemala,320,3,0.02,0.02,0.00
Guinea,324,27,0.36,0.19,0.03
Guyana,328,0,0.00,0.00,0.00
Haiti,332,39,0.40,0.33,0.03
Honduras,340,20,0.23,0.20,0.02
Hungary,348,26,0.11,0.27,0.01
Iceland,352,0,0.00,0.00,0.00
India,356,2 626,0.18,0.19,0.02
Indonesia,360,374,0.13,0.13,0.01
Iran (Islamic Republic of),364,95,0.10,0.11,0.01
Iraq,368,26,0.11,0.06,0.01
Ireland,372,17,0.17,0.34,0.02
Israel,376,8,0.06,0.09,0.01
Italy,380,426,0.23,0.71,0.02
Côte d'Ivoire,384,60,0.35,0.22,0.04
Jamaica,388,8,0.21,0.27,0.03
Japan,392,539,0.10,0.43,0.01
Kazakhstan,398,45,0.20,0.23,0.02
Jordan,400,8,0.11,0.08,0.01
Kenya,404,172,0.63,0.31,0.06
Korea (Democratic People Republic of),408,20,0.05,0.08,0.01
Republic of Korea,410,100,0.07,0.19,0.01
Kuwait,414,2,0.03,0.05,0.00
Kyrgyzstan,417,11,0.20,0.16,0.02
Lao People's Democratic Republic,418,7,0.12,0.09,0.01
Lebanon,422,6,0.07,0.09,0.01
Lesotho,426,6,0.33,0.28,0.03
Latvia,428,14,0.24,0.76,0.03
Liberia,430,14,0.40,0.26,0.05
Libya,434,8,0.10,0.11,0.01
Lithuania,440,21,0.30,0.79,0.04
Luxembourg,442,0,0.00,0.00,0.00
Madagascar,450,154,0.96,0.53,0.11
Malawi,454,68,0.62,0.34,0.07
Malaysia,458,53,0.14,0.16,0.01
Maldives,462,0,0.00,0.00,0.00
Mali,466,50,0.48,0.23,0.04
Malta,470,0,0.00,0.00,0.00
"France, Martinique",474,0,0.00,0.00,0.00
Mauritania,478,23,0.72,0.47,0.08
Mauritius,480,0,0.00,0.00,0.00
Mexico,484,94,0.06,0.07,0.01
Mongolia,496,3,0.10,0.09,0.01
Moldova,498,2,0.03,0.05,0.01
Montenegro,499,3,0.19,0.48,0.04
Morocco,504,140,0.32,0.37,0.04
Mozambique,508,95,0.53,0.29,0.06
Oman,512,14,0.45,0.26,0.06
Namibia,516,6,0.42,0.23,0.07
Nepal,524,21,0.07,0.07,0.01
The Netherlands,528,84,0.20,0.49,0.03
New Caledonia,540,0,0.00,0.00,0.00
Vanuatu,548,1,0.36,0.31,0.03
New Zealand,554,30,0.31,0.61,0.03
Nicaragua,558,11,0.18,0.16,0.02
Niger,562,91,0.67,0.35,0.08
Nigeria,566,1 045,1.0,0.48,0.12
Norway,578,21,0.16,0.38,0.02
Pakistan,586,279,0.16,0.12,0.02
Panama,591,8,0.13,0.18,0.02
Papua New Guinea,598,42,0.88,0.45,0.08
Paraguay,600,17,0.23,0.23,0.02
Peru,604,67,0.15,0.20,0.02
Philippines,608,97,0.10,0.09,0.01
Poland,616,260,0.28,0.69,0.03
Portugal,620,54,0.18,0.53,0.02
Guinea-Bissau,624,2,0.21,0.10,0.02
Timor-Leste,626,0,0.00,0.00,0.00
Puerto Rico,630,7,0.07,0.25,0.01
Qatar,634,1,0.09,0.03,0.01
"France, La Réunion",638,3,0.14,0.33,0.01
Romania,642,142,0.32,0.75,0.04
Russian Federation,643,390,0.15,0.27,0.02
Rwanda,646,14,0.17,0.10,0.02
Saint Lucia,662,0,0.00,0.00,0.00
