Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Afghanistan,004,888,7.9,4.5,0.89
Albania,008,97,4.1,6.9,0.48
Algeria,012,1 013,4.6,4.5,0.57
Angola,024,1 715,20.2,9.7,2.3
Azerbaijan,031,325,4.8,6.3,0.55
Argentina,032,2 559,8.4,10.9,0.88
Australia,036,323,1.4,2.5,0.15
Austria,040,180,1.9,3.9,0.21
Bahamas,044,33,12.0,16.0,1.3
Bahrain,048,8,1.6,1.3,0.23
Bangladesh,050,5 826,7.0,7.0,0.76
Armenia,051,99,4.0,6.3,0.45
Barbados,052,24,7.9,16.2,0.78
Belgium,056,231,1.9,3.9,0.20
Bhutan,064,26,7.2,7.1,0.74
Bolivia,068,1 138,18.3,19.0,1.9
Bosnia Herzegovina,070,151,4.9,9.1,0.54
Botswana,072,253,22.8,20.1,2.5
Brazil,076,9 905,6.5,9.0,0.69
Belize,084,24,13.0,11.6,1.2
Solomon Islands,090,48,17.9,13.5,1.6
Brunei Darussalam,096,16,6.6,7.5,0.86
Bulgaria,100,453,6.2,12.9,0.70
Myanmar,104,4 374,13.4,15.3,1.5
Burundi,108,1 081,35.0,17.0,4.0
Belarus,112,371,4.4,7.4,0.46
Cambodia,116,670,8.1,7.6,0.95
Cameroon,120,1 837,25.7,13.2,2.9
Canada,124,760,2.3,3.9,0.23
Cape Verde,132,27,9.8,9.6,1.1
Central African Republic,140,240,18.3,9.5,2.2
Sri Lanka,144,946,5.3,8.4,0.61
Chad,148,841,18.4,9.7,2.0
Chile,152,825,5.2,8.5,0.54
China,156,55 694,4.5,8.1,0.51
Colombia,170,2 435,6.9,9.3,0.74
Comoros,174,102,35.7,22.7,4.2
"Congo, Republic of",178,248,14.2,8.6,1.7
"Congo, Democratic Republic of",180,6 187,24.6,13.0,2.8
Costa Rica,188,167,4.6,6.4,0.46
Croatia,191,138,2.9,6.6,0.33
Cuba,192,695,6.4,12.2,0.71
Cyprus,196,31,2.4,5.1,0.26
Czechia,203,369,3.2,6.8,0.36
Benin,204,475,12.8,7.4,1.6
Denmark,208,115,1.8,3.9,0.19
Dominican Republic,214,622,9.9,11.2,1.1
Ecuador,218,939,8.9,10.4,0.94
El Salvador,222,367,8.4,10.5,0.89
Equatorial Guinea,226,76,21.9,11.4,2.5
Ethiopia,231,5 975,16.8,9.9,2.0
Eritrea,232,150,12.7,8.2,1.5
Estonia,233,60,3.9,8.7,0.41
Fiji,242,105,22.5,23.4,2.2
Finland,246,65,1.3,2.3,0.14
France (metropolitan),250,1 530,2.3,4.5,0.25
French Guyana,254,10,6.7,6.3,0.72
French Polynesia,258,6,3.2,4.3,0.29
Djibouti,262,54,13.0,11.2,1.6
Gabon,266,139,17.8,12.1,1.9
Georgia,268,210,5.8,10.1,0.64
