Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Afghanistan,004,244,1.2,0.60,0.14
Albania,008,168,3.3,5.9,0.40
Algeria,012,961,2.2,2.1,0.28
Angola,024,321,2.2,0.92,0.30
Azerbaijan,031,394,3.1,3.8,0.37
Argentina,032,1 266,2.1,2.8,0.27
Australia,036,569,1.2,2.2,0.15
Austria,040,336,1.8,3.7,0.24
Bahamas,044,9,1.8,2.3,0.12
Bahrain,048,13,1.3,0.73,0.14
Bangladesh,050,5 975,3.9,3.6,0.46
Armenia,051,138,2.9,4.6,0.37
Barbados,052,9,1.3,3.1,0.17
Belgium,056,463,1.9,4.0,0.25
Bhutan,064,14,1.9,1.8,0.23
Bolivia,068,148,1.3,1.2,0.19
Bosnia Herzegovina,070,268,4.2,8.3,0.52
Botswana,072,36,2.1,1.5,0.25
Brazil,076,8 867,3.1,4.1,0.37
Belize,084,7,1.8,1.7,0.12
Solomon Islands,090,7,1.3,0.97,0.09
Brunei Darussalam,096,1,0.17,0.22,0.02
Bulgaria,100,432,3.1,6.3,0.40
Myanmar,104,1 286,2.3,2.3,0.26
Burundi,108,62,1.2,0.49,0.13
Belarus,112,705,4.3,7.5,0.55
Cambodia,116,170,1.3,0.99,0.16
Cameroon,120,38,0.28,0.14,0.04
Canada,124,992,1.2,2.6,0.15
Cape Verde,132,6,1.2,1.1,0.16
Central African Republic,140,13,0.55,0.26,0.07
Sri Lanka,144,799,2.5,3.7,0.32
Chad,148,56,0.39,0.32,0.03
Chile,152,245,0.71,1.3,0.08
China,156,29 461,1.2,2.1,0.15
Colombia,170,954,1.4,1.9,0.17
Comoros,174,2,0.44,0.22,0.06
"Congo, Republic of",178,16,0.52,0.28,0.07
"Congo, Democratic Republic of",180,277,0.59,0.29,0.07
Costa Rica,188,82,1.1,1.6,0.13
Croatia,191,267,3.1,6.6,0.41
Cuba,192,1 846,8.3,16.3,1.1
Cyprus,196,44,2.1,3.6,0.30
Czechia,203,465,2.1,4.3,0.28
Benin,204,32,0.44,0.25,0.04
Denmark,208,235,1.9,4.0,0.25
Dominican Republic,214,321,2.7,2.9,0.33
Ecuador,218,148,0.75,0.82,0.09
El Salvador,222,48,0.59,0.73,0.06
Equatorial Guinea,226,9,1.4,0.60,0.19
Ethiopia,231,483,0.71,0.40,0.08
Eritrea,232,19,0.83,0.52,0.10
Estonia,233,61,2.3,4.6,0.31
Fiji,242,16,1.7,1.8,0.17
Finland,246,121,0.92,2.2,0.12
France (metropolitan),250,3 276,2.4,5.0,0.31
French Guyana,254,5,1.8,1.6,0.20
French Polynesia,258,9,2.4,3.2,0.30
Djibouti,262,6,0.75,0.59,0.11
Gabon,266,33,2.3,1.4,0.29
Georgia,268,297,4.4,7.5,0.55
The Republic of the Gambia,270,7,0.57,0.27,0.06
Gaza Strip and West Bank,275,78,2.6,1.5,0.32
Germany,276,3 705,1.8,4.4,0.23
Ghana,288,227,1.1,0.70,0.13
