Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Afghanistan,004,187,0.95,0.46,0.12
Albania,008,104,2.0,3.6,0.24
Algeria,012,627,1.4,1.4,0.17
Angola,024,200,1.5,0.57,0.21
Azerbaijan,031,224,1.8,2.2,0.22
Argentina,032,766,1.2,1.7,0.15
Australia,036,229,0.37,0.88,0.04
Austria,040,159,0.78,1.8,0.10
Bahamas,044,7,1.4,1.8,0.10
Bahrain,048,7,0.78,0.39,0.08
Bangladesh,050,3 740,2.4,2.2,0.29
Armenia,051,89,1.8,3.0,0.24
Barbados,052,7,1.1,2.4,0.17
Belgium,056,155,0.61,1.3,0.07
Bhutan,064,9,1.3,1.1,0.19
Bolivia,068,75,0.54,0.63,0.09
Bosnia Herzegovina,070,146,2.0,4.5,0.25
Botswana,072,21,1.3,0.86,0.16
Brazil,076,5 511,1.9,2.6,0.23
Belize,084,5,1.3,1.2,0.06
Solomon Islands,090,7,1.3,0.97,0.09
Brunei Darussalam,096,0,0.00,0.00,0.00
Bulgaria,100,346,2.5,5.1,0.31
Myanmar,104,804,1.4,1.5,0.16
Burundi,108,46,0.90,0.36,0.10
Belarus,112,401,2.4,4.3,0.31
Cambodia,116,112,0.83,0.65,0.10
Cameroon,120,26,0.20,0.09,0.03
Canada,124,458,0.43,1.2,0.05
Cape Verde,132,4,0.89,0.70,0.13
Central African Republic,140,8,0.35,0.16,0.05
Sri Lanka,144,440,1.3,2.0,0.18
Chad,148,29,0.23,0.17,0.02
Chile,152,164,0.46,0.85,0.05
China,156,16 852,0.62,1.2,0.07
Colombia,170,536,0.74,1.0,0.08
Comoros,174,2,0.44,0.22,0.06
"Congo, Republic of",178,10,0.35,0.17,0.05
"Congo, Democratic Republic of",180,206,0.44,0.22,0.05
Costa Rica,188,46,0.54,0.89,0.06
Croatia,191,134,1.4,3.3,0.18
Cuba,192,952,4.0,8.4,0.50
Cyprus,196,13,0.51,1.1,0.06
Czechia,203,220,1.0,2.1,0.13
Benin,204,21,0.30,0.16,0.03
Denmark,208,79,0.54,1.4,0.06
Dominican Republic,214,207,1.7,1.9,0.19
Ecuador,218,87,0.42,0.48,0.05
El Salvador,222,32,0.41,0.49,0.05
Equatorial Guinea,226,5,0.86,0.33,0.11
Ethiopia,231,328,0.48,0.27,0.06
Eritrea,232,14,0.61,0.38,0.07
Estonia,233,34,1.1,2.6,0.15
Fiji,242,5,0.53,0.55,0.05
Finland,246,49,0.33,0.88,0.04
France (metropolitan),250,1 035,0.65,1.6,0.08
French Guyana,254,2,0.73,0.64,0.12
French Polynesia,258,6,1.5,2.1,0.21
Djibouti,262,4,0.54,0.39,0.09
Gabon,266,16,1.2,0.69,0.15
Georgia,268,233,3.2,5.9,0.42
The Republic of the Gambia,270,7,0.57,0.27,0.06
Gaza Strip and West Bank,275,52,1.8,0.97,0.21
Germany,276,1 482,0.66,1.8,0.08
Ghana,288,146,0.79,0.45,0.09
Greece,300,363,1.2,3.5,0.14
"France, Guadeloupe",312,9,1.2,2.3,0.14
Guam,316,0,0.00,0.00,0.00
Guatemala,320,55,0.38,0.30,0.04
Guinea,324,46,0.68,0.33,0.07
Guyana,328,6,0.70,0.76,0.09
Haiti,332,62,0.66,0.53,0.06
Honduras,340,131,1.7,1.3,0.21
Hungary,348,446,2.3,4.6,0.30
Iceland,352,1,0.07,0.29,0.00
India,356,22 467,1.6,1.6,0.21
Indonesia,360,2 525,0.87,0.90,0.10
Iran (Islamic Republic of),364,1 874,2.1,2.2,0.23
Iraq,368,377,1.7,0.89,0.20
Ireland,372,81,0.82,1.6,0.10
Israel,376,78,0.54,0.87,0.06
Italy,380,1 626,0.89,2.7,0.10
Côte d'Ivoire,384,92,0.69,0.33,0.08
Jamaica,388,39,0.98,1.3,0.12
Japan,392,1 001,0.18,0.80,0.02
Kazakhstan,398,315,1.4,1.6,0.18
Jordan,400,132,1.8,1.3,0.22
Kenya,404,236,0.88,0.42,0.11
Korea (Democratic People Republic of),408,386,1.0,1.5,0.13
Republic of Korea,410,423,0.31,0.82,0.03
Kuwait,414,28,0.98,0.64,0.10
Kyrgyzstan,417,52,0.94,0.77,0.13
Lao People's Democratic Republic,418,47,0.85,0.63,0.10
Lebanon,422,101,1.3,1.5,0.17
Lesotho,426,7,0.44,0.32,0.06
Latvia,428,74,1.8,4.0,0.23
Liberia,430,21,0.70,0.40,0.08
Libya,434,126,2.2,1.8,0.23
Lithuania,440,127,2.3,4.8,0.30
Luxembourg,442,6,0.48,0.93,0.06
Madagascar,450,75,0.49,0.26,0.06
Malawi,454,42,0.48,0.21,0.05
Malaysia,458,377,1.0,1.1,0.11
Maldives,462,0,0.00,0.00,0.00
Mali,466,54,0.59,0.25,0.07
Malta,470,8,0.67,1.8,0.09
"France, Martinique",474,3,0.40,0.80,0.05
Mauritania,478,14,0.50,0.29,0.06
Mauritius,480,22,1.0,1.7,0.13
Mexico,484,726,0.47,0.55,0.05
Mongolia,496,29,1.2,0.86,0.12
Moldova,498,193,3.1,4.8,0.40
Montenegro,499,35,2.6,5.6,0.30
Morocco,504,793,1.8,2.1,0.23
Mozambique,508,51,0.30,0.15,0.04
Oman,512,24,0.80,0.45,0.09
Namibia,516,21,1.4,0.80,0.21
Nepal,524,287,1.1,0.95,0.14
The Netherlands,528,243,0.54,1.4,0.07
New Caledonia,540,4,1.1,1.4,0.18
Vanuatu,548,4,1.6,1.2,0.14
New Zealand,554,34,0.30,0.69,0.04
Nicaragua,558,58,0.95,0.86,0.13
Niger,562,48,0.42,0.18,0.05
Nigeria,566,568,0.55,0.26,0.07
Norway,578,43,0.31,0.78,0.04
Pakistan,586,2 731,1.7,1.2,0.21
Panama,591,30,0.49,0.67,0.05
Papua New Guinea,598,70,1.3,0.75,0.13
Paraguay,600,82,1.2,1.1,0.13
Peru,604,139,0.31,0.41,0.03
Philippines,608,1 247,1.3,1.1,0.15
Poland,616,1 730,2.3,4.6,0.29
Portugal,620,375,1.6,3.7,0.19
Guinea-Bissau,624,3,0.32,0.15,0.04
Timor-Leste,626,6,0.65,0.44,0.09
