Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Afghanistan,004,7,0.05,0.03,0.01
Albania,008,7,0.23,0.48,0.03
Algeria,012,2,0.01,0.01,0.00
Angola,024,31,0.58,0.18,0.08
Azerbaijan,031,1,0.02,0.02,0.01
Argentina,032,160,0.56,0.71,0.06
Australia,036,31,0.11,0.24,0.01
Austria,040,26,0.20,0.58,0.02
Bahamas,044,1,0.35,0.51,0.04
Bahrain,048,0,0.00,0.00,0.00
Bangladesh,050,244,0.31,0.29,0.03
Armenia,051,6,0.27,0.43,0.03
Barbados,052,0,0.00,0.00,0.00
Belgium,056,21,0.15,0.36,0.02
Bhutan,064,2,0.52,0.48,0.05
Bolivia,068,61,0.72,1.0,0.01
Bosnia Herzegovina,070,3,0.09,0.19,0.02
Botswana,072,14,1.8,1.2,0.19
Brazil,076,547,0.40,0.52,0.04
Belize,084,0,0.00,0.00,0.00
Solomon Islands,090,2,0.72,0.55,0.03
Brunei Darussalam,096,0,0.00,0.00,0.00
Bulgaria,100,24,0.32,0.72,0.04
Myanmar,104,177,0.85,0.67,0.07
Burundi,108,32,1.3,0.51,0.16
Belarus,112,18,0.24,0.41,0.03
Cambodia,116,47,0.73,0.56,0.08
Cameroon,120,5,0.06,0.04,0.01
Canada,124,72,0.15,0.38,0.01
Cape Verde,132,0,0.00,0.00,0.00
Central African Republic,140,0,0.00,0.00,0.00
Sri Lanka,144,43,0.29,0.42,0.03
Chad,148,0,0.00,0.00,0.00
Chile,152,43,0.27,0.45,0.03
China,156,2 275,0.18,0.32,0.02
Colombia,170,154,0.50,0.61,0.05
Comoros,174,1,0.34,0.22,0.03
"Congo, Republic of",178,0,0.00,0.00,0.00
"Congo, Democratic Republic of",180,70,0.32,0.15,0.04
Costa Rica,188,11,0.27,0.43,0.02
Croatia,191,11,0.21,0.56,0.02
Cuba,192,43,0.35,0.77,0.04
Cyprus,196,2,0.22,0.33,0.01
Czechia,203,43,0.36,0.81,0.04
Benin,204,3,0.13,0.05,0.00
Denmark,208,19,0.24,0.66,0.02
Dominican Republic,214,19,0.31,0.34,0.03
Ecuador,218,45,0.46,0.50,0.04
El Salvador,222,8,0.23,0.26,0.02
Equatorial Guinea,226,0,0.00,0.00,0.00
Ethiopia,231,20,0.05,0.03,0.00
Eritrea,232,0,0.00,0.00,0.00
Estonia,233,5,0.32,0.80,0.04
Fiji,242,0,0.00,0.00,0.00
Finland,246,13,0.17,0.47,0.02
France (metropolitan),250,132,0.16,0.42,0.02
French Guyana,254,0,0.00,0.00,0.00
French Polynesia,258,0,0.00,0.00,0.00
Djibouti,262,0,0.00,0.00,0.00
Gabon,266,0,0.00,0.00,0.00
Georgia,268,14,0.44,0.74,0.06
The Republic of the Gambia,270,1,0.16,0.08,0.02
Gaza Strip and West Bank,275,0,0.00,0.00,0.00
Germany,276,279,0.23,0.67,0.03
Ghana,288,6,0.06,0.04,0.01
Greece,300,43,0.28,0.85,0.03
"France, Guadeloupe",312,0,0.00,0.00,0.00
Guam,316,0,0.00,0.00,0.00
Guatemala,320,7,0.11,0.08,0.01
Guinea,324,0,0.00,0.00,0.00
Guyana,328,1,0.26,0.25,0.03
Haiti,332,23,0.51,0.40,0.05
Honduras,340,36,0.91,0.70,0.08
Hungary,348,27,0.29,0.59,0.03
Iceland,352,0,0.00,0.00,0.00
India,356,4 450,0.63,0.61,0.07
Indonesia,360,419,0.30,0.30,0.03
Iran (Islamic Republic of),364,21,0.05,0.05,0.00
Iraq,368,2,0.01,0.01,0.00
Ireland,372,15,0.30,0.60,0.03
Israel,376,2,0.03,0.04,0.01
Italy,380,162,0.17,0.55,0.02
Côte d'Ivoire,384,2,0.03,0.01,0.00
Jamaica,388,7,0.32,0.47,0.04
Japan,392,177,0.07,0.29,0.01
Kazakhstan,398,17,0.19,0.18,0.02
Jordan,400,0,0.00,0.00,0.00
Kenya,404,22,0.17,0.08,0.02
Korea (Democratic People Republic of),408,23,0.15,0.18,0.01
Republic of Korea,410,23,0.04,0.09,0.00
Kuwait,414,0,0.00,0.00,0.00
Kyrgyzstan,417,1,0.03,0.03,0.00
Lao People's Democratic Republic,418,17,0.62,0.45,0.05
Lebanon,422,4,0.10,0.12,0.01
Lesotho,426,10,1.5,0.93,0.21
Latvia,428,7,0.37,0.82,0.04
Liberia,430,1,0.03,0.04,0.00
Libya,434,0,0.00,0.00,0.00
Lithuania,440,9,0.30,0.73,0.03
Luxembourg,442,0,0.00,0.00,0.00
Madagascar,450,4,0.04,0.03,0.00
Malawi,454,63,1.2,0.63,0.12
Malaysia,458,23,0.12,0.14,0.01
Maldives,462,0,0.00,0.00,0.00
Mali,466,3,0.04,0.03,0.00
Malta,470,0,0.00,0.00,0.00
"France, Martinique",474,1,0.11,0.58,0.00
Mauritania,478,0,0.00,0.00,0.00
Mauritius,480,0,0.00,0.00,0.00
Mexico,484,241,0.35,0.37,0.04
Mongolia,496,3,0.22,0.18,0.04
Moldova,498,7,0.26,0.36,0.03
Montenegro,499,1,0.17,0.32,0.03
Morocco,504,6,0.03,0.03,0.00
Mozambique,508,67,0.86,0.42,0.09
Oman,512,0,0.00,0.00,0.00
Namibia,516,5,0.61,0.39,0.04
Nepal,524,89,0.76,0.63,0.09
The Netherlands,528,44,0.18,0.51,0.02
New Caledonia,540,0,0.00,0.00,0.00
Vanuatu,548,0,0.00,0.00,0.00
New Zealand,554,2,0.04,0.08,0.00
Nicaragua,558,20,0.74,0.60,0.08
Niger,562,1,0.02,0.01,0.00
Nigeria,566,13,0.01,0.01,0.00
Norway,578,12,0.20,0.43,0.02
Pakistan,586,93,0.11,0.08,0.01
Panama,591,10,0.36,0.45,0.03
Papua New Guinea,598,13,0.65,0.27,0.02
Paraguay,600,36,1.1,0.97,0.12
Peru,604,88,0.42,0.53,0.04
Philippines,608,53,0.12,0.09,0.01
Poland,616,191,0.51,1.0,0.06
Portugal,620,32,0.21,0.67,0.02
Guinea-Bissau,624,0,0.00,0.00,0.00
Timor-Leste,626,0,0.00,0.00,0.00
Puerto Rico,630,10,0.32,0.75,0.04
Qatar,634,0,0.00,0.00,0.00
"France, La Réunion",638,2,0.22,0.46,0.00
Romania,642,55,0.30,0.59,0.04
Russian Federation,643,289,0.27,0.43,0.03
Rwanda,646,41,1.0,0.61,0.10
Saint Lucia,662,0,0.00,0.00,0.00
Sao Tome and Principe,678,0,0.00,0.00,0.00
Saudi Arabia,682,2,0.01,0.01,0.00
Senegal,686,2,0.03,0.02,0.00
Serbia,688,28,0.32,0.66,0.04
Sierra Leone,694,0,0.00,0.00,0.00
Singapore,702,6,0.10,0.19,0.01
Slovakia,703,14,0.29,0.53,0.03
Viet Nam,704,152,0.28,0.31,0.03
Slovenia,705,6,0.21,0.58,0.02
Somalia,706,2,0.04,0.02,0.00
South Africa,710,96,0.37,0.32,0.04
Zimbabwe,716,49,1.4,0.67,0.14
Spain,724,131,0.22,0.57,0.02
South Sudan,728,13,0.40,0.22,0.03
Sudan,729,10,0.09,0.04,0.02
Suriname,740,2,0.79,0.67,0.16
Eswatini,748,10,3.4,1.7,0.37
Sweden,752,37,0.25,0.72,0.03
Switzerland,756,11,0.09,0.25,0.01
Syrian Arab Republic,760,3,0.05,0.03,0.01
Tajikistan,762,0,0.00,0.00,0.00
Thailand,764,243,0.41,0.71,0.04
Togo,768,1,0.06,0.02,0.00
Trinidad and Tobago,780,1,0.10,0.14,0.01
United Arab Emirates,784,1,0.06,0.01,0.00
Tunisia,788,1,0.01,0.02,0.00
Türkiye,792,6,0.01,0.01,0.00
Turkmenistan,795,0,0.00,0.00,0.00
Uganda,800,146,1.5,0.61,0.16
Ukraine,804,86,0.26,0.43,0.03
North Macedonia,807,7,0.33,0.67,0.03
Egypt,818,4,0.01,0.01,0.00
United Kingdom,826,194,0.25,0.57,0.03
"Tanzania, United Republic of",834,68,0.59,0.21,0.06
United States of America,840,389,0.12,0.23,0.01
Burkina Faso,854,0,0.00,0.00,0.00
Uruguay,858,14,0.46,0.83,0.05
Uzbekistan,860,4,0.04,0.02,0.00
Venezuela,862,85,0.55,0.59,0.05
Samoa,882,0,0.00,0.00,0.00
Yemen,887,0,0.00,0.00,0.00
Zambia,894,67,1.6,0.69,0.19
Total,,13 738,0.28,0.35,0.03
