Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Afghanistan,004,20,0.18,0.10,0.02
Albania,008,17,0.62,1.2,0.06
Algeria,012,49,0.21,0.22,0.02
Angola,024,82,0.65,0.46,0.05
Azerbaijan,031,2,0.03,0.04,0.00
Argentina,032,106,0.32,0.45,0.03
Australia,036,104,0.43,0.79,0.05
Austria,040,38,0.33,0.83,0.03
Bahamas,044,2,0.81,0.97,0.14
Bahrain,048,0,0.00,0.00,0.00
Bangladesh,050,238,0.31,0.29,0.03
Armenia,051,8,0.28,0.51,0.04
Barbados,052,0,0.00,0.00,0.00
Belgium,056,53,0.44,0.90,0.05
Bhutan,064,0,0.00,0.00,0.00
Bolivia,068,28,0.49,0.47,0.04
Bosnia Herzegovina,070,14,0.35,0.84,0.05
Botswana,072,7,0.60,0.56,0.07
Brazil,076,462,0.28,0.42,0.03
Belize,084,0,0.00,0.00,0.00
Solomon Islands,090,1,0.35,0.28,0.03
Brunei Darussalam,096,0,0.00,0.00,0.00
Bulgaria,100,35,0.41,0.99,0.05
Myanmar,104,68,0.21,0.24,0.04
Burundi,108,14,0.43,0.22,0.04
Belarus,112,24,0.24,0.48,0.03
Cambodia,116,10,0.12,0.11,0.01
Cameroon,120,47,0.59,0.34,0.07
Canada,124,228,0.53,1.2,0.06
Cape Verde,132,0,0.00,0.00,0.00
Central African Republic,140,3,0.21,0.12,0.03
Sri Lanka,144,56,0.35,0.50,0.04
Chad,148,17,0.43,0.19,0.05
Chile,152,57,0.32,0.58,0.04
China,156,2 685,0.23,0.39,0.03
Colombia,170,183,0.51,0.70,0.06
Comoros,174,0,0.00,0.00,0.00
"Congo, Republic of",178,5,0.29,0.17,0.04
"Congo, Democratic Republic of",180,118,0.45,0.25,0.05
Costa Rica,188,10,0.24,0.39,0.03
Croatia,191,20,0.36,0.95,0.04
Cuba,192,66,0.55,1.2,0.07
Cyprus,196,0,0.00,0.00,0.00
Czechia,203,61,0.43,1.1,0.05
Benin,204,13,0.39,0.20,0.05
Denmark,208,22,0.30,0.75,0.04
Dominican Republic,214,57,0.92,1.0,0.09
