Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Afghanistan,004,14,0.14,0.07,0.02
Albania,008,8,0.23,0.57,0.03
Algeria,012,24,0.10,0.11,0.01
Angola,024,41,0.35,0.23,0.03
Azerbaijan,031,1,0.02,0.02,0.00
Argentina,032,45,0.11,0.19,0.01
Australia,036,30,0.10,0.23,0.01
Austria,040,9,0.05,0.20,0.00
Bahamas,044,0,0.00,0.00,0.00
Bahrain,048,0,0.00,0.00,0.00
Bangladesh,050,108,0.14,0.13,0.02
Armenia,051,5,0.18,0.32,0.03
Barbados,052,0,0.00,0.00,0.00
Belgium,056,20,0.09,0.34,0.01
Bhutan,064,0,0.00,0.00,0.00
Bolivia,068,11,0.20,0.18,0.02
Bosnia Herzegovina,070,5,0.13,0.30,0.02
Botswana,072,3,0.19,0.24,0.02
Brazil,076,167,0.09,0.15,0.01
Belize,084,0,0.00,0.00,0.00
Solomon Islands,090,1,0.35,0.28,0.03
Brunei Darussalam,096,0,0.00,0.00,0.00
Bulgaria,100,12,0.10,0.34,0.01
Myanmar,104,38,0.12,0.13,0.02
Burundi,108,10,0.30,0.16,0.03
Belarus,112,10,0.06,0.20,0.01
Cambodia,116,5,0.06,0.06,0.01
Cameroon,120,30,0.38,0.22,0.04
Canada,124,67,0.11,0.35,0.01
Cape Verde,132,0,0.00,0.00,0.00
Central African Republic,140,2,0.14,0.08,0.02
Sri Lanka,144,23,0.14,0.20,0.02
Chad,148,13,0.33,0.15,0.04
Chile,152,25,0.13,0.26,0.02
China,156,1 057,0.08,0.15,0.01
Colombia,170,57,0.14,0.22,0.01
Comoros,174,0,0.00,0.00,0.00
"Congo, Republic of",178,2,0.12,0.07,0.02
"Congo, Democratic Republic of",180,75,0.30,0.16,0.03
Costa Rica,188,3,0.04,0.12,0.00
Croatia,191,10,0.12,0.48,0.01
Cuba,192,28,0.21,0.49,0.02
Cyprus,196,0,0.00,0.00,0.00
Czechia,203,30,0.17,0.55,0.02
Benin,204,7,0.22,0.11,0.03
Denmark,208,8,0.07,0.27,0.01
Dominican Republic,214,24,0.37,0.43,0.04
Ecuador,218,9,0.07,0.10,0.01
El Salvador,222,4,0.08,0.11,0.01
Equatorial Guinea,226,1,0.14,0.15,0.01
Ethiopia,231,137,0.39,0.23,0.06
Eritrea,232,2,0.18,0.11,0.03
Estonia,233,1,0.02,0.14,0.00
Fiji,242,1,0.21,0.22,0.03
Finland,246,12,0.12,0.43,0.01
France (metropolitan),250,83,0.07,0.25,0.01
French Guyana,254,0,0.00,0.00,0.00
French Polynesia,258,0,0.00,0.00,0.00
Djibouti,262,0,0.00,0.00,0.00
Gabon,266,2,0.16,0.17,0.01
Georgia,268,9,0.13,0.43,0.01
The Republic of the Gambia,270,0,0.00,0.00,0.00
Gaza Strip and West Bank,275,2,0.16,0.08,0.03
Germany,276,215,0.13,0.51,0.01
Ghana,288,9,0.07,0.06,0.01
Greece,300,8,0.05,0.15,0.01
"France, Guadeloupe",312,0,0.00,0.00,0.00
Guam,316,0,0.00,0.00,0.00
Guatemala,320,7,0.08,0.07,0.01
Guinea,324,15,0.31,0.21,0.03
Guyana,328,0,0.00,0.00,0.00
Haiti,332,12,0.23,0.20,0.02
Honduras,340,8,0.19,0.16,0.03
Hungary,348,30,0.19,0.60,0.02
Iceland,352,0,0.00,0.00,0.00
India,356,2 465,0.35,0.36,0.04
Indonesia,360,189,0.13,0.14,0.01
Iran (Islamic Republic of),364,16,0.03,0.04,0.00
Iraq,368,10,0.08,0.05,0.01
Ireland,372,7,0.11,0.28,0.01
Israel,376,6,0.06,0.13,0.01
Italy,380,122,0.09,0.40,0.01
Côte d'Ivoire,384,42,0.58,0.31,0.05
Jamaica,388,1,0.06,0.07,0.01
Japan,392,170,0.06,0.26,0.01
Kazakhstan,398,28,0.21,0.28,0.02
Jordan,400,7,0.19,0.14,0.02
Kenya,404,32,0.21,0.11,0.04
Korea (Democratic People Republic of),408,12,0.06,0.09,0.01
Republic of Korea,410,41,0.06,0.16,0.01
Kuwait,414,0,0.00,0.00,0.00
Kyrgyzstan,417,5,0.15,0.15,0.02
Lao People's Democratic Republic,418,7,0.23,0.19,0.03
Lebanon,422,10,0.21,0.30,0.02
Lesotho,426,3,0.34,0.27,0.03
Latvia,428,8,0.20,0.80,0.02
Liberia,430,8,0.44,0.30,0.05
Libya,434,7,0.21,0.20,0.02
Lithuania,440,7,0.09,0.49,0.00
Luxembourg,442,1,0.17,0.32,0.04
Madagascar,450,34,0.38,0.23,0.04
Malawi,454,50,0.92,0.49,0.12
Malaysia,458,19,0.11,0.12,0.00
Maldives,462,0,0.00,0.00,0.00
Mali,466,21,0.38,0.20,0.05
Malta,470,0,0.00,0.00,0.00
"France, Martinique",474,2,0.27,0.99,0.04
Mauritania,478,3,0.20,0.12,0.03
Mauritius,480,0,0.00,0.00,0.00
Mexico,484,72,0.09,0.11,0.01
Mongolia,496,7,0.44,0.41,0.04
Moldova,498,2,0.04,0.10,0.01
Montenegro,499,1,0.13,0.32,0.03
Morocco,504,29,0.13,0.15,0.02
Mozambique,508,26,0.22,0.15,0.02
Oman,512,0,0.00,0.00,0.00
Namibia,516,6,0.57,0.44,0.06
Nepal,524,20,0.13,0.12,0.01
The Netherlands,528,24,0.08,0.28,0.01
New Caledonia,540,0,0.00,0.00,0.00
Vanuatu,548,0,0.00,0.00,0.00
New Zealand,554,11,0.19,0.44,0.01
