Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Afghanistan,004,717,3.3,1.8,0.39
Albania,008,44,0.76,1.5,0.09
Algeria,012,146,0.31,0.32,0.04
Angola,024,316,2.0,0.90,0.25
Azerbaijan,031,92,0.79,0.89,0.08
Argentina,032,584,0.89,1.3,0.11
Australia,036,429,0.80,1.7,0.09
Austria,040,249,1.3,2.8,0.15
Bahamas,044,5,0.99,1.3,0.13
Bahrain,048,8,0.61,0.45,0.08
Bangladesh,050,9 447,6.1,5.6,0.74
Armenia,051,32,0.64,1.1,0.08
Barbados,052,8,1.1,2.8,0.08
Belgium,056,248,0.96,2.1,0.12
Bhutan,064,13,2.0,1.7,0.28
Bolivia,068,32,0.26,0.27,0.04
Bosnia Herzegovina,070,63,0.91,1.9,0.11
Botswana,072,32,1.8,1.3,0.20
Brazil,076,4 700,1.6,2.2,0.18
Belize,084,0,0.00,0.00,0.00
Solomon Islands,090,9,1.9,1.3,0.20
Brunei Darussalam,096,0,0.00,0.00,0.00
Bulgaria,100,177,1.3,2.6,0.16
Myanmar,104,1 452,2.6,2.6,0.28
Burundi,108,74,1.5,0.59,0.16
Belarus,112,514,3.3,5.5,0.39
Cambodia,116,335,2.6,2.0,0.25
Cameroon,120,160,1.3,0.57,0.15
Canada,124,741,0.80,1.9,0.09
Cape Verde,132,9,1.7,1.6,0.13
Central African Republic,140,28,1.0,0.56,0.12
Sri Lanka,144,1 198,3.8,5.6,0.46
Chad,148,118,1.3,0.68,0.15
Chile,152,151,0.44,0.78,0.05
China,156,20 831,0.78,1.5,0.09
Colombia,170,413,0.57,0.80,0.06
Comoros,174,3,0.61,0.33,0.09
"Congo, Republic of",178,9,0.32,0.16,0.05
"Congo, Democratic Republic of",180,382,0.81,0.40,0.09
Costa Rica,188,42,0.53,0.81,0.06
Croatia,191,141,1.6,3.5,0.19
Cuba,192,422,1.8,3.7,0.21
Cyprus,196,8,0.38,0.65,0.05
Czechia,203,400,1.8,3.7,0.22
Benin,204,44,0.62,0.34,0.08
Denmark,208,126,0.93,2.2,0.11
Dominican Republic,214,67,0.53,0.61,0.06
Ecuador,218,110,0.51,0.61,0.05
El Salvador,222,58,0.66,0.89,0.06
Equatorial Guinea,226,10,1.7,0.67,0.26
Ethiopia,231,744,1.0,0.62,0.12
Eritrea,232,25,1.1,0.68,0.14
Estonia,233,42,1.7,3.2,0.21
Fiji,242,8,0.85,0.88,0.09
Finland,246,125,0.83,2.3,0.10
France (metropolitan),250,1 695,1.2,2.6,0.14
French Guyana,254,1,0.36,0.32,0.06
French Polynesia,258,7,1.7,2.5,0.16
Djibouti,262,9,1.1,0.89,0.18
Gabon,266,23,1.7,0.99,0.20
Georgia,268,107,1.5,2.7,0.18
The Republic of the Gambia,270,5,0.34,0.20,0.04
Gaza Strip and West Bank,275,22,0.72,0.41,0.09
Germany,276,2 295,1.1,2.7,0.13
Ghana,288,139,0.68,0.43,0.07
Greece,300,250,0.85,2.4,0.09
"France, Guadeloupe",312,9,1.1,2.3,0.12
Guam,316,1,0.28,0.58,0.00
Guatemala,320,74,0.48,0.40,0.04
Guinea,324,47,0.65,0.34,0.06
Guyana,328,8,0.90,1.0,0.11
Haiti,332,69,0.70,0.59,0.05
Honduras,340,30,0.34,0.29,0.03
Hungary,348,528,2.9,5.5,0.35
Iceland,352,5,0.77,1.5,0.08
India,356,79 979,5.6,5.7,0.65
Indonesia,360,3 546,1.2,1.3,0.13
Iran (Islamic Republic of),364,447,0.49,0.52,0.04
Iraq,368,171,0.69,0.41,0.08
Ireland,372,98,1.1,2.0,0.12
Israel,376,67,0.43,0.75,0.05
Italy,380,1 841,0.99,3.1,0.11
Côte d'Ivoire,384,134,0.89,0.48,0.09
Jamaica,388,15,0.35,0.50,0.04
Japan,392,3 846,0.69,3.1,0.06
Kazakhstan,398,316,1.4,1.7,0.17
Jordan,400,48,0.64,0.47,0.07
Kenya,404,438,1.7,0.78,0.19
Korea (Democratic People Republic of),408,175,0.44,0.67,0.05
Republic of Korea,410,579,0.48,1.1,0.05
Kuwait,414,26,0.66,0.59,0.08
Kyrgyzstan,417,70,1.3,1.0,0.14
