Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Afghanistan,004,143,0.69,0.35,0.08
Albania,008,23,0.40,0.80,0.05
Algeria,012,90,0.19,0.20,0.02
Angola,024,245,1.5,0.70,0.18
Azerbaijan,031,38,0.32,0.37,0.04
Argentina,032,436,0.75,0.95,0.10
Australia,036,1 016,2.5,3.9,0.31
Austria,040,359,2.0,4.0,0.26
Bahamas,044,2,0.45,0.50,0.08
Bahrain,048,1,0.06,0.06,0.01
Bangladesh,050,4 438,2.8,2.6,0.33
Armenia,051,6,0.12,0.20,0.01
Barbados,052,7,1.3,2.4,0.17
Belgium,056,526,2.4,4.5,0.31
Bhutan,064,10,1.6,1.3,0.24
Bolivia,068,83,0.74,0.69,0.08
Bosnia Herzegovina,070,42,0.68,1.3,0.08
Botswana,072,9,0.54,0.37,0.07
Brazil,076,5 648,2.0,2.6,0.23
Belize,084,0,0.00,0.00,0.00
Solomon Islands,090,1,0.19,0.14,0.02
Brunei Darussalam,096,0,0.00,0.00,0.00
Bulgaria,100,115,0.90,1.7,0.11
Myanmar,104,673,1.2,1.2,0.13
Burundi,108,25,0.45,0.20,0.06
Belarus,112,478,3.1,5.1,0.38
Cambodia,116,122,0.79,0.71,0.08
Cameroon,120,177,1.2,0.63,0.14
Canada,124,1 479,2.2,3.9,0.27
Cape Verde,132,1,0.17,0.18,0.02
Central African Republic,140,8,0.28,0.16,0.02
Sri Lanka,144,469,1.5,2.2,0.18
Chad,148,12,0.05,0.07,0.00
Chile,152,124,0.41,0.64,0.05
China,156,7 941,0.33,0.56,0.04
Colombia,170,569,0.88,1.1,0.09
Comoros,174,2,0.33,0.22,0.04
"Congo, Republic of",178,4,0.11,0.07,0.01
"Congo, Democratic Republic of",180,106,0.22,0.11,0.02
Costa Rica,188,36,0.48,0.69,0.06
Croatia,191,159,2.1,3.9,0.26
Cuba,192,706,3.4,6.2,0.41
Cyprus,196,8,0.48,0.65,0.06
Czechia,203,582,2.9,5.4,0.36
Benin,204,35,0.52,0.27,0.07
Denmark,208,450,4.1,7.7,0.52
Dominican Republic,214,188,1.6,1.7,0.19
Ecuador,218,86,0.44,0.47,0.05
El Salvador,222,22,0.26,0.34,0.03
Equatorial Guinea,226,7,0.90,0.47,0.10
Ethiopia,231,133,0.18,0.11,0.02
Eritrea,232,1,0.04,0.03,0.00
Estonia,233,43,2.0,3.3,0.25
Fiji,242,3,0.29,0.33,0.03
Finland,246,120,1.2,2.2,0.14
France (metropolitan),250,3 883,3.3,5.9,0.43
French Guyana,254,6,2.1,1.9,0.31
French Polynesia,258,8,2.2,2.8,0.29
Djibouti,262,0,0.00,0.00,0.00
Gabon,266,17,1.1,0.73,0.12
Georgia,268,45,0.64,1.1,0.09
The Republic of the Gambia,270,0,0.00,0.00,0.00
Gaza Strip and West Bank,275,4,0.14,0.07,0.02
Germany,276,4 596,2.6,5.5,0.34
Ghana,288,85,0.39,0.26,0.04
Greece,300,69,0.33,0.67,0.04
"France, Guadeloupe",312,18,2.8,4.5,0.31
Guam,316,1,0.44,0.58,0.07
Guatemala,320,46,0.32,0.25,0.04
Guinea,324,10,0.13,0.07,0.01
Guyana,328,2,0.25,0.25,0.04
Haiti,332,91,0.99,0.78,0.11
Honduras,340,9,0.11,0.09,0.01
Hungary,348,653,3.8,6.8,0.47
Iceland,352,3,0.57,0.87,0.07
India,356,23 174,1.6,1.7,0.19
Indonesia,360,1 525,0.51,0.55,0.05
Iran (Islamic Republic of),364,109,0.12,0.13,0.01
Iraq,368,21,0.09,0.05,0.01
Ireland,372,123,1.6,2.5,0.20
Israel,376,24,0.21,0.27,0.03
Italy,380,1 532,1.2,2.5,0.15
Côte d'Ivoire,384,42,0.24,0.15,0.03
