Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Afghanistan,004,85,0.41,0.21,0.05
Albania,008,15,0.30,0.52,0.04
Algeria,012,53,0.11,0.12,0.01
Angola,024,129,0.88,0.37,0.11
Azerbaijan,031,24,0.21,0.23,0.03
Argentina,032,214,0.35,0.47,0.04
Australia,036,269,0.54,1.0,0.07
Austria,040,196,1.0,2.2,0.13
Bahamas,044,1,0.23,0.25,0.04
Bahrain,048,0,0.00,0.00,0.00
Bangladesh,050,2 792,1.8,1.7,0.22
Armenia,051,7,0.15,0.24,0.02
Barbados,052,5,0.87,1.7,0.12
Belgium,056,192,0.84,1.7,0.11
Bhutan,064,8,1.3,1.0,0.22
Bolivia,068,32,0.25,0.27,0.02
Bosnia Herzegovina,070,24,0.34,0.74,0.04
Botswana,072,4,0.26,0.16,0.04
Brazil,076,3 495,1.2,1.6,0.15
Belize,084,0,0.00,0.00,0.00
Solomon Islands,090,1,0.19,0.14,0.02
Brunei Darussalam,096,0,0.00,0.00,0.00
Bulgaria,100,78,0.63,1.1,0.08
Myanmar,104,396,0.70,0.72,0.08
Burundi,108,15,0.28,0.12,0.04
Belarus,112,289,1.8,3.1,0.23
Cambodia,116,75,0.50,0.44,0.05
Cameroon,120,117,0.87,0.42,0.11
Canada,124,553,0.63,1.4,0.07
Cape Verde,132,2,0.31,0.35,0.02
Central African Republic,140,4,0.15,0.08,0.01
Sri Lanka,144,244,0.78,1.1,0.10
Chad,148,5,0.02,0.03,0.00
Chile,152,66,0.20,0.34,0.02
China,156,4 924,0.19,0.35,0.02
Colombia,170,207,0.29,0.40,0.03
Comoros,174,2,0.33,0.22,0.04
"Congo, Republic of",178,0,0.00,0.00,0.00
"Congo, Democratic Republic of",180,80,0.17,0.08,0.02
Costa Rica,188,26,0.33,0.50,0.04
Croatia,191,101,1.1,2.5,0.14
Cuba,192,311,1.3,2.8,0.17
Cyprus,196,2,0.11,0.16,0.01
Czechia,203,243,1.2,2.3,0.15
Benin,204,18,0.27,0.14,0.03
Denmark,208,134,1.1,2.3,0.14
Dominican Republic,214,85,0.67,0.77,0.08
Ecuador,218,39,0.19,0.22,0.02
El Salvador,222,12,0.14,0.18,0.01
Equatorial Guinea,226,4,0.67,0.27,0.08
Ethiopia,231,78,0.11,0.06,0.01
Eritrea,232,0,0.00,0.00,0.00
Estonia,233,22,0.79,1.7,0.11
Fiji,242,0,0.00,0.00,0.00
Finland,246,38,0.30,0.68,0.05
France (metropolitan),250,1 154,0.90,1.8,0.11
French Guyana,254,2,0.73,0.64,0.12
French Polynesia,258,2,0.50,0.70,0.07
Djibouti,262,0,0.00,0.00,0.00
Gabon,266,8,0.61,0.34,0.07
Georgia,268,36,0.52,0.91,0.07
The Republic of the Gambia,270,0,0.00,0.00,0.00
Gaza Strip and West Bank,275,1,0.04,0.02,0.01
Germany,276,1 962,1.0,2.3,0.13
Ghana,288,44,0.21,0.14,0.02
Greece,300,41,0.18,0.40,0.02
"France, Guadeloupe",312,6,0.87,1.5,0.09
Guam,316,0,0.00,0.00,0.00
Guatemala,320,31,0.22,0.17,0.03
Guinea,324,6,0.09,0.04,0.01
Guyana,328,0,0.00,0.00,0.00
Haiti,332,58,0.63,0.50,0.07
Honduras,340,5,0.08,0.05,0.01
Hungary,348,281,1.5,2.9,0.20
Iceland,352,0,0.00,0.00,0.00
India,356,14 202,1.0,1.0,0.12
Indonesia,360,892,0.30,0.32,0.03
Iran (Islamic Republic of),364,88,0.10,0.10,0.01
Iraq,368,12,0.05,0.03,0.01
Ireland,372,65,0.75,1.3,0.10
Israel,376,12,0.08,0.13,0.01
Italy,380,821,0.54,1.4,0.07
Côte d'Ivoire,384,28,0.17,0.10,0.02
Jamaica,388,14,0.36,0.47,0.05
Japan,392,1 413,0.34,1.1,0.04
Kazakhstan,398,132,0.59,0.69,0.07
Jordan,400,4,0.06,0.04,0.01
Kenya,404,55,0.21,0.10,0.03
Korea (Democratic People Republic of),408,49,0.13,0.19,0.02
Republic of Korea,410,218,0.18,0.42,0.02
Kuwait,414,5,0.10,0.11,0.01
Kyrgyzstan,417,15,0.26,0.22,0.04
Lao People's Democratic Republic,418,18,0.32,0.24,0.04
Lebanon,422,3,0.04,0.04,0.01
Lesotho,426,6,0.39,0.28,0.06
Latvia,428,43,1.1,2.3,0.13
Liberia,430,2,0.07,0.04,0.01
Libya,434,5,0.11,0.07,0.01
Lithuania,440,72,1.5,2.7,0.18
Luxembourg,442,2,0.19,0.31,0.04
Madagascar,450,117,0.62,0.40,0.07
Malawi,454,1,0.01,0.00,0.00
Malaysia,458,93,0.24,0.28,0.02
Maldives,462,0,0.00,0.00,0.00
Mali,466,20,0.22,0.09,0.03
Malta,470,2,0.12,0.45,0.02
"France, Martinique",474,6,0.58,1.6,0.08
Mauritania,478,5,0.19,0.10,0.02
Mauritius,480,15,0.70,1.2,0.08
Mexico,484,251,0.16,0.19,0.02
Mongolia,496,13,0.49,0.38,0.05
Moldova,498,131,2.1,3.3,0.26
Montenegro,499,4,0.35,0.64,0.06
Morocco,504,61,0.14,0.16,0.02
Mozambique,508,81,0.41,0.24,0.04
Oman,512,5,0.15,0.09,0.02
Namibia,516,11,0.80,0.42,0.12
Nepal,524,42,0.17,0.14,0.02
The Netherlands,528,225,0.55,1.3,0.07
New Caledonia,540,3,0.74,1.0,0.08
Vanuatu,548,0,0.00,0.00,0.00
New Zealand,554,32,0.34,0.65,0.04
Nicaragua,558,19,0.31,0.28,0.04
Niger,562,16,0.12,0.06,0.01
