Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Afghanistan,004,12,0.10,0.06,0.01
Albania,008,12,0.51,0.82,0.05
Algeria,012,6,0.03,0.03,0.00
Angola,024,62,1.1,0.36,0.16
Azerbaijan,031,1,0.02,0.02,0.00
Argentina,032,470,1.6,2.1,0.16
Australia,036,127,0.51,0.98,0.06
Austria,040,81,0.79,1.8,0.09
Bahamas,044,2,0.70,1.0,0.09
Bahrain,048,0,0.00,0.00,0.00
Bangladesh,050,684,0.83,0.81,0.09
Armenia,051,7,0.33,0.50,0.03
Barbados,052,1,0.41,0.72,0.07
Belgium,056,95,0.75,1.6,0.09
Bhutan,064,4,1.2,0.95,0.15
Bolivia,068,194,2.4,3.2,0.12
Bosnia Herzegovina,070,6,0.18,0.38,0.02
Botswana,072,34,3.9,2.9,0.42
Brazil,076,1 688,1.3,1.6,0.12
Belize,084,0,0.00,0.00,0.00
Solomon Islands,090,4,1.5,1.1,0.03
Brunei Darussalam,096,0,0.00,0.00,0.00
Bulgaria,100,65,0.90,2.0,0.11
Myanmar,104,347,1.5,1.3,0.16
Burundi,108,64,2.5,1.0,0.29
Belarus,112,60,0.86,1.4,0.10
Cambodia,116,97,1.5,1.2,0.17
Cameroon,120,9,0.11,0.06,0.01
Canada,124,293,0.68,1.5,0.08
Cape Verde,132,3,1.3,1.1,0.18
Central African Republic,140,1,0.12,0.04,0.02
Sri Lanka,144,103,0.69,1.0,0.08
Chad,148,0,0.00,0.00,0.00
Chile,152,98,0.67,1.0,0.08
China,156,5 973,0.49,0.83,0.06
Colombia,170,513,1.6,2.0,0.16
Comoros,174,2,0.68,0.44,0.08
"Congo, Republic of",178,1,0.05,0.03,0.00
"Congo, Democratic Republic of",180,144,0.63,0.30,0.07
Costa Rica,188,41,1.1,1.6,0.13
Croatia,191,35,0.87,1.8,0.10
Cuba,192,163,1.3,2.9,0.11
Cyprus,196,10,0.90,1.6,0.10
Czechia,203,139,1.3,2.6,0.15
Benin,204,9,0.39,0.14,0.01
Denmark,208,74,1.1,2.6,0.12
Dominican Republic,214,66,1.1,1.2,0.10
Ecuador,218,139,1.4,1.5,0.11
El Salvador,222,28,0.83,0.91,0.06
Equatorial Guinea,226,0,0.00,0.00,0.00
Ethiopia,231,39,0.11,0.06,0.01
Eritrea,232,1,0.11,0.05,0.02
Estonia,233,14,1.1,2.2,0.14
Fiji,242,5,1.3,1.1,0.02
Finland,246,43,0.68,1.6,0.08
France (metropolitan),250,467,0.65,1.5,0.07
French Guyana,254,2,1.5,1.3,0.31
French Polynesia,258,0,0.00,0.00,0.00
Djibouti,262,0,0.00,0.00,0.00
Gabon,266,1,0.13,0.08,0.02
Georgia,268,28,0.88,1.5,0.13
The Republic of the Gambia,270,5,0.82,0.39,0.10
Gaza Strip and West Bank,275,0,0.00,0.00,0.00
Germany,276,856,0.87,2.1,0.10
Ghana,288,24,0.30,0.15,0.03
Greece,300,167,1.3,3.3,0.14
"France, Guadeloupe",312,3,0.65,1.6,0.10
Guam,316,0,0.00,0.00,0.00
Guatemala,320,21,0.30,0.23,0.02
Guinea,324,5,0.09,0.07,0.01
Guyana,328,4,0.99,1.0,0.14
Haiti,332,56,1.3,0.97,0.14
Honduras,340,79,2.0,1.6,0.22
Hungary,348,88,1.0,1.9,0.12
Iceland,352,3,0.83,1.7,0.11
India,356,10 443,1.5,1.4,0.17
Indonesia,360,1 098,0.77,0.78,0.08
Iran (Islamic Republic of),364,35,0.08,0.08,0.01
Iraq,368,3,0.03,0.01,0.00
Ireland,372,51,1.2,2.1,0.14
Israel,376,9,0.14,0.20,0.02
Italy,380,711,0.84,2.4,0.09
Côte d'Ivoire,384,4,0.05,0.03,0.01
Jamaica,388,19,0.96,1.3,0.11
Japan,392,584,0.27,0.95,0.03
Kazakhstan,398,38,0.42,0.41,0.05
Jordan,400,0,0.00,0.00,0.00
Kenya,404,51,0.45,0.18,0.04
Korea (Democratic People Republic of),408,57,0.38,0.45,0.04
Republic of Korea,410,109,0.20,0.42,0.02
Kuwait,414,0,0.00,0.00,0.00
Kyrgyzstan,417,3,0.10,0.09,0.01
Lao People's Democratic Republic,418,35,1.3,0.93,0.13
Lebanon,422,9,0.23,0.27,0.03
Lesotho,426,22,3.1,2.1,0.34
Latvia,428,19,1.2,2.2,0.16
Liberia,430,1,0.03,0.04,0.00
Libya,434,0,0.00,0.00,0.00
Lithuania,440,27,1.1,2.2,0.13
Luxembourg,442,2,0.31,0.62,0.03
Madagascar,450,9,0.11,0.06,0.02
Malawi,454,136,2.5,1.4,0.26
Malaysia,458,72,0.38,0.42,0.04
