Population,Population code (ISO/UN),Number,ASR (World),Crude Rate,Cum. risk 74
Afghanistan,004,38,0.37,0.19,0.04
Albania,008,30,1.0,2.1,0.12
Algeria,012,97,0.41,0.43,0.05
Angola,024,89,0.91,0.50,0.14
Azerbaijan,031,18,0.30,0.35,0.03
Argentina,032,343,0.83,1.5,0.09
Australia,036,409,1.5,3.1,0.16
Austria,040,175,1.4,3.8,0.15
Bahamas,044,0,0.00,0.00,0.00
Bahrain,048,1,0.15,0.16,0.02
Bangladesh,050,287,0.37,0.35,0.04
Armenia,051,17,0.48,1.1,0.04
Barbados,052,3,1.5,2.0,0.15
Belgium,056,265,1.9,4.5,0.21
Bhutan,064,0,0.00,0.00,0.00
Bolivia,068,27,0.51,0.45,0.08
Bosnia Herzegovina,070,33,0.80,2.0,0.10
Botswana,072,34,2.6,2.7,0.24
Brazil,076,1 432,0.84,1.3,0.09
Belize,084,0,0.00,0.00,0.00
Solomon Islands,090,0,0.00,0.00,0.00
Brunei Darussalam,096,0,0.00,0.00,0.00
Bulgaria,100,111,1.1,3.2,0.13
Myanmar,104,151,0.47,0.53,0.06
Burundi,108,49,1.3,0.77,0.13
Belarus,112,169,1.3,3.4,0.15
Cambodia,116,39,0.50,0.44,0.05
Cameroon,120,59,0.87,0.42,0.10
Canada,124,959,2.2,5.0,0.24
Cape Verde,132,1,0.32,0.35,0.03
Central African Republic,140,16,1.3,0.63,0.16
Sri Lanka,144,59,0.25,0.52,0.02
Chad,148,30,0.62,0.34,0.06
Chile,152,127,0.60,1.3,0.07
China,156,4 117,0.32,0.60,0.04
Colombia,170,394,1.1,1.5,0.11
Comoros,174,6,1.6,1.3,0.16
"Congo, Republic of",178,23,1.6,0.79,0.19
"Congo, Democratic Republic of",180,332,1.2,0.70,0.13
Costa Rica,188,30,0.67,1.2,0.08
Croatia,191,103,1.6,4.9,0.19
Cuba,192,112,0.98,2.0,0.10
Cyprus,196,13,0.96,2.1,0.09
Czechia,203,272,1.9,5.0,0.21
Benin,204,35,0.88,0.55,0.06
Denmark,208,197,2.8,6.7,0.30
Dominican Republic,214,10,0.13,0.18,0.01
