0,1,2,3,4,5
,,,,,
Afghanistan,004,1 218,10.3,6.1,1.1
Albania,008,171,8.7,12.2,0.88
Algeria,012,1 799,8.0,8.0,0.94
Angola,024,2 823,30.4,16.0,3.3
Azerbaijan,031,547,8.2,10.6,0.87
Argentina,032,4 696,16.8,19.9,1.7
Australia,036,898,5.3,6.9,0.49
Austria,040,409,5.9,8.9,0.58
Bahamas,044,42,15.2,20.4,1.7
Bahrain,048,18,2.7,2.9,0.29
Bangladesh,050,9 640,11.3,11.6,1.2
Armenia,051,156,6.8,9.9,0.72
Barbados,052,36,13.8,24.3,1.3
Belgium,056,531,6.3,9.0,0.62
Bhutan,064,49,13.6,13.3,1.4
Bolivia,068,2 213,38.7,37.0,3.9
Bosnia Herzegovina,070,263,12.3,15.9,1.1
Botswana,072,454,39.1,36.1,4.0
Brazil,076,18 715,12.7,17.1,1.4
Belize,084,34,17.3,16.4,1.7
Solomon Islands,090,72,26.2,20.3,2.5
Brunei Darussalam,096,53,20.0,24.7,2.0
Bulgaria,100,877,15.4,24.9,1.6
Myanmar,104,7 028,21.4,24.6,2.2
Burundi,108,1 457,43.6,22.9,4.7
Belarus,112,668,9.3,13.3,0.91
Cambodia,116,1 274,15.2,14.5,1.7
Cameroon,120,2 525,33.1,18.1,3.7
Canada,124,1 730,6.6,9.0,0.62
Cape Verde,132,46,16.1,16.3,1.7
Central African Republic,140,295,21.8,11.7,2.5
Sri Lanka,144,1 579,9.2,14.0,1.1
Chad,148,1 111,23.5,12.7,2.5
Chile,152,1 559,11.3,16.0,1.1
China,156,150 659,13.8,21.8,1.5
Colombia,170,4 570,13.7,17.4,1.4
Comoros,174,163,52.0,36.3,5.4
"Congo, Republic of",178,397,22.3,13.7,2.6
"Congo, Democratic Republic of",180,8 705,32.9,18.3,3.7
Costa Rica,188,341,10.6,13.1,0.97
Croatia,191,272,8.3,13.0,0.82
Cuba,192,1 122,12.8,19.7,1.3
Cyprus,196,62,7.0,10.1,0.67
Czechia,203,658,8.0,12.1,0.79
Benin,204,701,18.1,11.0,2.2
Denmark,208,373,9.7,12.7,0.89
Dominican Republic,214,967,15.6,17.5,1.6
Ecuador,218,1 792,17.7,19.8,1.8
El Salvador,222,627,15.2,18.0,1.5
Equatorial Guinea,226,127,33.2,19.1,3.5
Ethiopia,231,8 168,22.3,13.5,2.5
Eritrea,232,196,16.4,10.7,1.9
Estonia,233,121,11.8,17.4,1.2
Fiji,242,165,35.0,36.7,3.3
Finland,246,179,4.6,6.4,0.43
France (metropolitan),250,3 185,6.6,9.4,0.65
French Guyana,254,19,12.3,12.0,1.3
French Polynesia,258,15,8.3,10.7,0.90
Djibouti,262,71,16.5,14.7,1.9
Gabon,266,271,32.5,23.7,3.5
Georgia,268,330,10.4,15.9,1.1
The Republic of the Gambia,270,325,39.4,25.2,3.8
Gaza Strip and West Bank,275,59,3.1,2.2,0.34
Germany,276,4 544,7.1,10.7,0.70
Ghana,288,3 072,27.0,19.2,3.1
Greece,300,473,5.5,9.0,0.55
"France, Guadeloupe",312,32,9.9,14.8,1.0
Guam,316,19,19.0,22.3,1.9
Guatemala,320,1 761,21.5,18.7,2.2
Guinea,324,2 551,55.0,35.8,5.6
Guyana,328,129,30.3,32.7,3.3
Haiti,332,869,16.6,14.7,1.7
Honduras,340,916,19.5,17.9,2.0
Hungary,348,964,12.6,19.2,1.2
Iceland,352,19,9.4,11.1,0.83
India,356,127 526,17.7,18.9,2.0
Indonesia,360,36 964,23.3,26.7,2.4
Iran (Islamic Republic of),364,1 265,2.5,3.0,0.27
Iraq,368,311,2.2,1.5,0.25
Ireland,372,242,7.5,9.6,0.69
Israel,376,330,6.2,7.4,0.63
Italy,380,2 479,5.0,8.0,0.50
Côte d'Ivoire,384,2 360,32.0,17.1,3.5
Jamaica,388,376,20.4,25.0,2.0
Japan,392,10 958,12.5,17.0,1.2
Kazakhstan,398,1 824,15.5,18.5,1.6
Jordan,400,133,3.2,2.6,0.34
Kenya,404,5 845,32.8,20.7,3.5
Korea (Democratic People Republic of),408,2 153,11.8,16.2,1.2
Republic of Korea,410,3 397,8.6,13.3,0.81
Kuwait,414,61,3.1,3.6,0.36
Kyrgyzstan,417,479,14.1,14.1,1.5
Lao People's Democratic Republic,418,401,12.0,10.8,1.2
Lebanon,422,144,3.6,4.3,0.37
Lesotho,426,598,60.5,54.3,6.1
Latvia,428,238,16.9,23.9,1.6
Liberia,430,717,39.6,27.2,4.1
Libya,434,278,8.0,8.0,0.90
